,longitude,latitude,thickness
587,47.5,88.5,3.0
588,48.5,88.5,3.0
589,49.5,88.5,3.0
590,50.5,88.5,3.0
591,51.5,88.5,3.0
592,52.5,88.5,3.0
593,53.5,88.5,3.0
594,54.5,88.5,3.0
595,55.5,88.5,3.0
596,56.5,88.5,3.0
597,57.5,88.5,3.0
598,58.5,88.5,3.0
599,59.5,88.5,3.0
600,60.5,88.5,3.0
601,61.5,88.5,3.0
602,62.5,88.5,3.0
603,63.5,88.5,3.0
604,64.5,88.5,3.0
605,65.5,88.5,3.0
606,66.5,88.5,3.0
607,67.5,88.5,3.0
608,68.5,88.5,3.0
609,69.5,88.5,3.0
610,70.5,88.5,3.0
611,71.5,88.5,3.0
612,72.5,88.5,3.0
613,73.5,88.5,3.0
614,74.5,88.5,3.0
615,75.5,88.5,3.0
616,76.5,88.5,3.0
617,77.5,88.5,3.0
618,78.5,88.5,3.0
619,79.5,88.5,3.0
620,80.5,88.5,3.0
621,81.5,88.5,3.0
622,82.5,88.5,3.0
623,83.5,88.5,3.0
624,84.5,88.5,3.0
625,85.5,88.5,3.0
626,86.5,88.5,3.0
627,87.5,88.5,3.0
628,88.5,88.5,3.0
629,89.5,88.5,3.0
630,90.5,88.5,3.0
631,91.5,88.5,3.0
632,92.5,88.5,3.0
633,93.5,88.5,3.0
634,94.5,88.5,3.0
635,95.5,88.5,3.0
636,96.5,88.5,3.0
637,97.5,88.5,3.0
638,98.5,88.5,3.0
639,99.5,88.5,3.0
640,100.5,88.5,3.0
641,101.5,88.5,3.0
642,102.5,88.5,3.0
643,103.5,88.5,3.0
644,104.5,88.5,3.0
645,105.5,88.5,3.0
646,106.5,88.5,3.0
647,107.5,88.5,3.0
648,108.5,88.5,3.0
649,109.5,88.5,3.0
650,110.5,88.5,3.0
651,111.5,88.5,3.0
652,112.5,88.5,3.0
653,113.5,88.5,3.0
654,114.5,88.5,3.0
655,115.5,88.5,3.0
656,116.5,88.5,3.0
657,117.5,88.5,3.0
658,118.5,88.5,3.0
659,119.5,88.5,3.0
660,120.5,88.5,3.0
661,121.5,88.5,3.0
662,122.5,88.5,3.0
663,123.5,88.5,3.0
664,124.5,88.5,3.0
665,125.5,88.5,3.0
666,126.5,88.5,3.0
667,127.5,88.5,3.0
668,128.5,88.5,3.0
669,129.5,88.5,3.0
670,130.5,88.5,3.0
671,131.5,88.5,3.0
672,132.5,88.5,3.0
673,133.5,88.5,3.0
674,134.5,88.5,3.0
675,135.5,88.5,3.0
676,136.5,88.5,3.0
677,137.5,88.5,3.0
678,138.5,88.5,3.0
679,139.5,88.5,3.0
680,140.5,88.5,3.0
681,141.5,88.5,3.0
682,142.5,88.5,3.0
683,143.5,88.5,3.0
684,144.5,88.5,3.0
685,145.5,88.5,3.0
686,146.5,88.5,3.0
687,147.5,88.5,3.0
688,148.5,88.5,3.0
689,149.5,88.5,3.0
690,150.5,88.5,3.0
691,151.5,88.5,3.0
692,152.5,88.5,3.0
693,153.5,88.5,3.0
694,154.5,88.5,3.0
695,155.5,88.5,3.0
696,156.5,88.5,3.0
697,157.5,88.5,3.0
698,158.5,88.5,3.0
699,159.5,88.5,3.0
700,160.5,88.5,3.0
701,161.5,88.5,3.0
702,162.5,88.5,3.0
703,163.5,88.5,3.0
704,164.5,88.5,3.0
705,165.5,88.5,3.0
706,166.5,88.5,3.0
707,167.5,88.5,3.0
708,168.5,88.5,3.0
709,169.5,88.5,3.0
710,170.5,88.5,3.0
711,171.5,88.5,3.0
712,172.5,88.5,3.0
713,173.5,88.5,3.0
714,174.5,88.5,3.0
715,175.5,88.5,3.0
716,176.5,88.5,3.0
717,177.5,88.5,3.0
718,178.5,88.5,3.0
719,179.5,88.5,3.0
720,-179.5,87.5,3.0
721,-178.5,87.5,3.0
722,-177.5,87.5,3.0
723,-176.5,87.5,3.0
724,-175.5,87.5,3.0
725,-174.5,87.5,3.0
726,-173.5,87.5,3.0
727,-172.5,87.5,3.0
728,-171.5,87.5,3.0
729,-170.5,87.5,3.0
730,-169.5,87.5,3.0
731,-168.5,87.5,3.0
732,-167.5,87.5,3.0
733,-166.5,87.5,3.0
734,-165.5,87.5,3.0
735,-164.5,87.5,3.0
736,-163.5,87.5,3.0
737,-162.5,87.5,3.0
738,-161.5,87.5,3.0
739,-160.5,87.5,3.0
740,-159.5,87.5,3.0
741,-158.5,87.5,3.0
742,-157.5,87.5,3.0
743,-156.5,87.5,3.0
744,-155.5,87.5,3.0
745,-154.5,87.5,3.0
746,-153.5,87.5,4.0
747,-152.5,87.5,4.0
748,-151.5,87.5,4.0
749,-150.5,87.5,4.0
750,-149.5,87.5,4.0
751,-148.5,87.5,4.0
752,-147.5,87.5,4.0
753,-146.5,87.5,4.0
754,-145.5,87.5,4.0
755,-144.5,87.5,4.0
756,-143.5,87.5,4.0
757,-142.5,87.5,4.0
758,-141.5,87.5,4.0
759,-140.5,87.5,4.0
760,-139.5,87.5,4.0
761,-138.5,87.5,4.0
762,-137.5,87.5,4.0
763,-136.5,87.5,4.0
764,-135.5,87.5,4.0
765,-134.5,87.5,4.0
766,-133.5,87.5,4.0
767,-132.5,87.5,4.0
768,-131.5,87.5,4.0
769,-130.5,87.5,4.0
770,-129.5,87.5,4.0
771,-128.5,87.5,4.0
772,-127.5,87.5,4.0
773,-126.5,87.5,4.0
774,-125.5,87.5,4.0
775,-124.5,87.5,4.0
776,-123.5,87.5,4.0
777,-122.5,87.5,4.0
778,-121.5,87.5,4.0
779,-120.5,87.5,4.0
780,-119.5,87.5,4.0
781,-118.5,87.5,4.0
782,-117.5,87.5,4.0
783,-116.5,87.5,4.0
784,-115.5,87.5,4.0
785,-114.5,87.5,4.0
786,-113.5,87.5,4.0
787,-112.5,87.5,4.0
788,-111.5,87.5,4.0
789,-110.5,87.5,4.0
790,-109.5,87.5,4.0
791,-108.5,87.5,4.0
792,-107.5,87.5,4.0
793,-106.5,87.5,4.0
794,-105.5,87.5,4.0
795,-104.5,87.5,4.0
796,-103.5,87.5,4.0
797,-102.5,87.5,4.0
798,-101.5,87.5,4.0
799,-100.5,87.5,4.0
800,-99.5,87.5,4.0
801,-98.5,87.5,4.0
802,-97.5,87.5,4.0
803,-96.5,87.5,4.0
804,-95.5,87.5,4.0
805,-94.5,87.5,4.0
806,-93.5,87.5,4.0
807,-92.5,87.5,4.0
808,-91.5,87.5,4.0
809,-90.5,87.5,4.0
810,-89.5,87.5,4.0
811,-88.5,87.5,4.0
812,-87.5,87.5,4.0
813,-86.5,87.5,4.0
814,-85.5,87.5,4.0
815,-84.5,87.5,4.0
816,-83.5,87.5,4.0
817,-82.5,87.5,4.0
818,-81.5,87.5,4.0
819,-80.5,87.5,4.0
820,-79.5,87.5,4.0
821,-78.5,87.5,4.0
822,-77.5,87.5,4.0
823,-76.5,87.5,4.0
824,-75.5,87.5,4.0
825,-74.5,87.5,4.0
